"numProiezione","numFila","numPosto","dataVendita","prezzo"
"118","4","43","2023-08-01","20.00"
"119","9","45","2023-10-09","24.00"
"119","9","119","2023-07-01","28.00"
"120","1","4","2023-12-27","47.00"
"120","4","32","2024-04-08","32.00"
"121","1","87","2023-12-04","40.00"
"121","6","54","2024-01-18","36.00"
"125","7","103","2023-07-04","49.00"
"125","10","71","2023-09-21","29.00"
"126","1","43","2023-12-14","37.00"
"128","7","69","2023-05-14","6.00"
"130","3","36","2023-09-16","15.00"
"131","8","60","2024-01-19","11.00"
"132","3","100","2023-06-06","49.00"
"132","9","141","2023-05-11","21.00"
"135","7","46","2023-05-22","5.00"
"136","5","48","2023-08-31","16.00"
"137","7","123","2023-09-24","13.00"
"137","10","53","2023-06-18","36.00"
"137","10","100","2023-08-16","42.00"
"138","8","57","2023-10-01","38.00"
"140","7","81","2024-04-17","20.00"
"141","2","15","2023-06-03","39.00"
"141","7","159","2024-03-13","7.00"
"141","8","71","2024-04-30","41.00"
"142","9","19","2024-03-04","12.00"
"143","3","70","2024-01-02","46.00"
"143","3","137","2023-09-05","24.00"
"143","8","8","2024-02-14","32.00"
"144","9","81","2024-02-06","34.00"
"145","7","125","2023-08-04","47.00"
"146","3","38","2023-07-06","37.00"
"148","5","128","2023-07-04","43.00"
"149","6","120","2024-03-30","11.00"
"150","6","54","2024-01-14","42.00"
"151","2","44","2023-08-28","17.00"
"152","4","100","2023-08-18","25.00"
"152","7","67","2023-05-14","7.00"
"154","2","57","2023-08-29","33.00"
"154","3","158","2024-03-21","5.00"
"155","6","95","2023-07-03","42.00"
"155","8","137","2023-06-19","34.00"
"156","2","7","2024-02-24","48.00"
"157","2","17","2023-06-14","40.00"
"157","4","80","2023-05-26","31.00"
"160","6","40","2024-01-24","36.00"
"160","10","28","2023-06-18","39.00"
"161","2","61","2023-07-02","31.00"
"162","1","107","2024-02-07","18.00"
"163","4","107","2024-02-03","49.00"
"164","8","3","2024-03-29","40.00"
"165","7","106","2024-02-29","41.00"
"165","8","8","2024-01-21","32.00"
"166","3","38","2024-03-10","15.00"
"167","3","115","2023-05-13","42.00"
"168","8","158","2023-09-22","7.00"
"169","4","131","2024-03-27","29.00"
"170","1","31","2024-01-17","37.00"
"170","6","159","2023-12-16","45.00"
"171","3","43","2023-05-12","37.00"
"172","2","69","2023-08-14","42.00"
"173","4","44","2024-03-27","32.00"
"174","4","66","2023-10-23","22.00"
"175","10","76","2024-01-27","33.00"
"176","4","50","2023-07-10","11.00"
"177","10","58","2024-02-13","42.00"
"178","3","45","2024-03-02","47.00"
"178","7","22","2023-10-30","33.00"
"178","10","144","2024-01-05","45.00"
"179","4","75","2024-05-03","11.00"
"179","5","9","2024-02-01","25.00"
"181","1","107","2023-09-18","45.00"
"181","3","59","2024-02-16","46.00"
"181","3","154","2023-11-30","42.00"
"181","8","31","2023-12-10","30.00"
"184","2","27","2024-04-27","45.00"
"186","9","85","2024-01-08","25.00"
"188","7","149","2024-03-31","45.00"
"192","2","128","2024-01-29","39.00"
"193","2","58","2024-03-06","23.00"
"193","5","124","2023-06-07","19.00"
"193","7","16","2024-05-01","13.00"
"194","4","77","2023-09-15","27.00"
"194","8","77","2023-11-12","34.00"
"196","5","21","2024-03-19","23.00"
"196","5","40","2024-04-15","46.00"
"196","7","30","2024-04-03","19.00"
"196","8","44","2024-01-17","23.00"
"196","10","124","2024-04-04","37.00"
"197","4","141","2023-12-24","9.00"
"197","5","8","2023-09-10","19.00"
"199","7","28","2024-04-29","9.00"
"199","9","122","2023-09-12","38.00"
"202","8","3","2023-08-09","9.00"
"205","8","138","2023-06-14","35.00"
"206","5","141","2023-09-16","43.00"
"206","10","118","2023-12-10","11.00"
"210","7","108","2023-10-10","34.00"
"210","9","131","2023-11-18","35.00"
"212","7","25","2023-10-02","19.00"
"213","4","125","2023-12-18","25.00"
"213","7","50","2023-11-15","11.00"
"214","7","64","2023-10-29","41.00"
"215","3","74","2023-05-16","37.00"
"216","7","81","2023-12-22","9.00"
"217","2","55","2023-08-13","35.00"
"217","5","129","2024-04-04","17.00"
"218","5","58","2023-09-18","31.00"
"220","2","77","2023-09-16","22.00"
"220","7","26","2024-02-26","9.00"
"220","9","67","2024-03-03","22.00"
"223","1","132","2023-07-22","8.00"
"223","7","39","2024-03-08","45.00"
"224","8","47","2024-05-05","10.00"
"224","8","160","2024-04-19","48.00"
"227","3","45","2023-11-19","26.00"
"227","4","86","2024-03-06","19.00"
"230","7","159","2023-07-19","8.00"
"232","10","64","2023-08-28","15.00"
"239","3","50","2024-03-15","40.00"
"239","8","39","2024-02-07","34.00"
"243","6","43","2023-06-26","38.00"
"244","10","137","2023-10-24","35.00"
"245","1","43","2023-09-26","50.00"
"245","1","100","2023-10-29","6.00"
"246","5","89","2023-08-19","8.00"
"246","10","77","2023-11-18","10.00"
"246","10","134","2023-07-11","6.00"
"247","1","22","2023-10-07","38.00"
"251","1","98","2023-06-03","5.00"
"251","1","125","2024-02-26","33.00"
"252","1","103","2024-03-09","11.00"
"254","1","19","2023-12-05","37.00"
"255","4","112","2023-11-20","36.00"
"256","4","19","2023-10-19","30.00"
"257","4","90","2024-02-14","13.00"
"257","7","61","2023-08-20","42.00"
"264","1","116","2024-03-01","41.00"
"264","2","58","2024-03-17","48.00"
"265","1","23","2023-06-03","22.00"
"265","6","22","2023-12-03","25.00"
"265","6","104","2024-03-20","43.00"
"265","9","142","2023-07-29","44.00"
"268","4","79","2024-04-20","23.00"
"271","4","89","2023-12-04","44.00"
"272","1","45","2024-03-10","47.00"
"272","3","49","2024-02-22","21.00"
"272","9","35","2023-08-11","47.00"
"273","5","49","2024-04-10","20.00"
"273","6","96","2023-08-04","44.00"
"274","4","61","2024-02-11","45.00"
"277","3","97","2024-03-04","20.00"
"278","6","65","2023-10-12","20.00"
"279","2","141","2023-05-27","45.00"
"279","4","38","2024-03-29","29.00"
"280","6","160","2023-11-02","20.00"
"281","2","50","2024-01-13","45.00"
"281","10","158","2024-01-19","37.00"
"282","1","57","2024-04-21","16.00"
"282","5","22","2023-11-01","14.00"
"283","7","64","2024-02-27","9.00"
"284","2","139","2024-02-10","49.00"
"284","10","104","2024-02-11","19.00"
"286","8","124","2023-06-23","5.00"
"288","1","82","2023-07-11","13.00"
"288","5","117","2023-06-24","34.00"
"288","8","5","2024-04-21","9.00"
"288","9","40","2024-03-11","24.00"
"289","5","110","2023-07-03","43.00"
"290","1","33","2023-07-20","6.00"
"290","4","39","2023-11-30","29.00"
"290","8","47","2024-03-01","29.00"
"291","10","46","2023-07-03","8.00"
"295","8","86","2023-08-21","36.00"
"296","1","11","2023-06-28","13.00"
"297","7","78","2024-03-12","49.00"
"297","8","7","2024-01-02","5.00"
"300","5","154","2024-02-21","20.00"
"301","8","116","2024-02-18","42.00"
"302","8","90","2023-11-12","30.00"
"303","8","91","2024-03-14","19.00"
"304","1","34","2024-03-13","28.00"
"304","2","153","2023-05-08","46.00"
"304","9","144","2023-10-22","27.00"
"305","2","34","2024-04-08","40.00"
"305","6","24","2023-07-15","18.00"
"307","2","28","2024-01-07","8.00"
"307","6","154","2024-05-04","6.00"
"308","9","141","2023-10-09","25.00"
"309","5","56","2024-03-31","26.00"
"310","9","10","2023-12-09","50.00"
"311","7","95","2023-12-24","30.00"
"312","8","139","2023-12-24","10.00"
"313","4","154","2023-11-04","13.00"
"314","2","151","2023-05-16","23.00"
"314","10","132","2024-02-02","43.00"
"315","7","91","2023-07-04","32.00"
"317","2","92","2023-11-23","19.00"
"318","8","155","2023-12-30","49.00"
"318","10","116","2023-08-16","10.00"
"320","2","134","2023-07-07","28.00"
"320","10","36","2024-01-27","46.00"
"322","1","110","2023-11-29","7.00"
"322","2","119","2023-07-20","14.00"
"323","2","67","2023-09-19","16.00"
"323","9","133","2023-07-24","50.00"
"324","1","122","2023-12-20","36.00"
"324","7","6","2023-11-03","12.00"
"325","10","129","2023-12-07","14.00"
"326","5","143","2023-11-29","42.00"
"327","2","134","2024-02-23","18.00"
"328","2","122","2023-12-05","25.00"
"328","10","146","2024-01-21","19.00"
"329","2","57","2024-02-10","25.00"
"329","3","150","2023-05-10","8.00"
"329","9","58","2024-02-13","31.00"
"330","5","138","2023-07-17","36.00"
"330","7","36","2023-09-17","35.00"
"331","6","90","2024-02-18","37.00"
"332","4","148","2023-12-24","25.00"
"333","2","105","2024-02-25","24.00"
"338","3","127","2023-12-09","15.00"
"339","4","79","2023-07-23","49.00"
"339","6","149","2023-06-24","38.00"
"340","2","51","2023-12-31","44.00"
"340","9","129","2024-01-24","6.00"
"341","2","63","2024-03-05","25.00"
"342","7","45","2023-09-14","41.00"
"342","9","110","2023-09-19","15.00"
"344","9","129","2023-12-23","11.00"
"345","1","120","2023-08-24","6.00"
"345","10","36","2024-02-14","37.00"
"346","1","87","2023-11-02","8.00"
"347","5","65","2024-04-08","29.00"
"348","1","120","2024-02-14","20.00"
"349","8","92","2024-05-07","50.00"
"349","10","111","2023-11-21","7.00"
"350","10","101","2023-12-16","26.00"
"351","2","106","2023-07-12","30.00"
"353","3","31","2024-02-26","25.00"
"354","8","71","2024-05-04","21.00"
"356","3","29","2023-06-24","24.00"
"359","6","128","2023-07-05","9.00"
"361","2","138","2023-09-03","25.00"
"363","5","113","2024-01-16","16.00"
"364","1","15","2023-07-16","21.00"
"365","9","79","2023-11-03","15.00"
"368","5","81","2024-03-20","49.00"
"368","8","12","2023-10-26","31.00"
"369","1","31","2023-07-11","11.00"
"370","3","93","2023-10-20","19.00"
"370","9","50","2023-07-08","44.00"
"371","4","121","2024-03-23","31.00"
"371","6","43","2023-10-30","42.00"
"373","9","120","2024-01-10","20.00"
"374","8","12","2023-07-18","12.00"
"375","4","70","2023-07-04","23.00"
"378","9","119","2023-11-05","8.00"
"379","2","54","2024-04-24","25.00"
"379","5","85","2023-07-24","23.00"
"380","1","134","2024-02-06","44.00"
"380","4","140","2024-03-01","49.00"
"382","8","42","2023-12-25","12.00"
"382","9","154","2023-08-26","40.00"
"384","9","55","2023-12-15","49.00"
"385","6","62","2023-09-04","45.00"
"386","7","112","2023-08-25","8.00"
"386","9","139","2024-01-21","27.00"
"387","7","23","2023-08-15","37.00"
"387","7","154","2023-09-19","23.00"
"388","3","60","2023-11-09","12.00"
"389","3","118","2024-02-19","48.00"
"390","2","139","2023-07-11","23.00"
"390","5","25","2023-09-21","46.00"
"392","9","12","2023-10-23","32.00"
"393","5","54","2023-09-21","6.00"
"393","9","42","2024-02-28","15.00"
"394","1","77","2023-07-14","17.00"
"394","1","147","2024-04-30","11.00"
"395","2","7","2023-09-26","24.00"
"395","6","99","2023-07-29","12.00"
"396","7","12","2024-01-18","25.00"
"397","9","150","2023-09-25","24.00"
"397","10","79","2023-12-20","5.00"
"397","10","106","2023-09-15","12.00"
"399","9","78","2024-03-31","41.00"
"400","4","144","2023-08-25","32.00"
"400","7","7","2023-12-16","7.00"
"401","2","154","2024-01-29","16.00"
"404","6","56","2023-08-31","29.00"
"406","1","134","2023-06-03","37.00"
"407","1","58","2023-11-08","11.00"
"407","1","96","2023-06-10","26.00"
"408","4","64","2023-07-22","34.00"
"408","4","92","2023-10-24","44.00"
"408","9","95","2024-01-02","49.00"
"409","2","68","2024-02-19","35.00"
"413","7","28","2023-12-28","8.00"
"414","9","107","2024-01-02","23.00"
"415","5","98","2024-04-26","12.00"
"417","8","94","2023-12-28","47.00"
"417","9","26","2024-01-25","40.00"
"419","5","107","2024-01-01","24.00"
"421","2","107","2024-05-03","48.00"
"422","7","121","2023-08-29","24.00"
"423","2","137","2023-10-10","43.00"
"424","7","55","2024-03-18","7.00"
"425","4","102","2023-12-11","42.00"
"425","6","60","2023-07-21","44.00"
"426","1","68","2023-05-19","19.00"
"427","1","104","2023-05-22","19.00"
"428","4","147","2023-07-02","36.00"
"429","1","55","2023-09-23","38.00"
"429","4","92","2023-06-23","14.00"
"430","1","73","2023-11-05","34.00"
"430","9","91","2024-01-18","18.00"
"431","10","132","2023-09-16","30.00"
"434","4","98","2024-02-21","47.00"
"437","6","103","2023-12-02","23.00"
"438","7","57","2023-08-08","46.00"
"439","3","142","2023-06-17","5.00"
"442","8","69","2023-09-25","42.00"
"444","8","127","2023-09-26","17.00"
"446","8","115","2023-12-24","18.00"
"448","1","25","2024-03-21","44.00"
"449","4","27","2023-12-19","9.00"
"450","10","60","2023-10-03","8.00"
"451","2","77","2024-04-03","34.00"
"451","3","142","2023-08-28","43.00"
"451","9","137","2024-01-22","8.00"
"454","8","116","2024-02-17","6.00"
"454","10","92","2024-04-17","10.00"
"457","7","59","2024-04-09","20.00"
"458","5","61","2023-05-14","49.00"
"460","8","91","2023-08-05","24.00"
"460","9","103","2024-01-25","45.00"
"461","2","150","2024-02-18","11.00"
"463","1","83","2024-04-29","17.00"
"464","2","77","2023-08-20","15.00"
"464","9","117","2023-06-14","11.00"
"465","1","111","2023-06-02","32.00"
"468","6","16","2023-07-01","45.00"
"468","9","110","2023-09-13","24.00"
"469","3","137","2023-08-18","25.00"
"471","8","103","2024-03-21","35.00"
"471","8","144","2024-05-04","19.00"
"472","5","66","2024-01-08","9.00"
"473","1","48","2024-05-01","42.00"
"473","5","110","2024-04-19","38.00"
"475","1","61","2024-03-23","32.00"
"478","10","68","2023-08-04","23.00"
"479","10","51","2023-10-10","27.00"
"481","7","23","2023-05-24","49.00"
"482","1","130","2024-02-13","44.00"
"483","3","119","2024-02-02","18.00"
"483","5","72","2023-12-01","42.00"
"483","8","148","2024-01-05","48.00"
"484","4","88","2023-08-15","35.00"
"484","10","154","2024-02-19","42.00"
"485","10","100","2023-07-02","8.00"
"486","6","2","2023-12-07","10.00"
"486","6","30","2023-05-10","10.00"
"486","7","46","2023-12-07","12.00"
"487","3","109","2024-01-16","10.00"
"488","5","12","2023-09-08","29.00"
"488","7","84","2024-03-03","20.00"
"491","8","73","2024-03-12","39.00"
"491","10","41","2023-12-22","35.00"
"493","5","68","2024-03-26","44.00"
"493","10","144","2024-02-09","41.00"
"494","6","116","2023-07-18","19.00"
"495","8","93","2024-04-11","34.00"
"495","8","146","2023-12-23","6.00"
"496","8","155","2023-12-21","44.00"
"496","9","50","2023-08-18","17.00"
"497","9","135","2023-09-07","49.00"
"498","6","123","2023-09-29","24.00"
"498","10","149","2023-12-03","42.00"
"499","2","121","2023-08-16","17.00"
"499","3","117","2023-06-11","12.00"
"500","7","26","2024-04-06","7.00"
"501","9","50","2024-04-13","8.00"
"504","4","85","2023-07-26","28.00"
"504","6","74","2023-08-22","24.00"
"504","6","87","2024-04-04","16.00"
"504","7","75","2024-01-28","37.00"
"505","2","109","2023-08-24","46.00"
"505","6","31","2023-08-12","48.00"
"506","5","45","2023-11-09","5.00"
"507","7","116","2023-10-16","42.00"
"508","3","43","2024-01-14","41.00"
"509","10","93","2024-01-20","15.00"
"510","2","137","2023-12-29","11.00"
"510","8","119","2023-08-12","38.00"
"511","4","18","2023-05-11","13.00"
"511","4","96","2023-12-21","21.00"
"511","7","80","2023-09-14","44.00"
"512","1","107","2023-09-08","14.00"
"512","4","18","2023-08-04","24.00"
"512","9","145","2024-01-14","20.00"
"514","7","102","2024-01-25","27.00"
"514","7","137","2023-09-02","31.00"
"514","8","4","2023-08-17","6.00"
"515","4","1","2023-05-16","18.00"
"515","8","124","2024-03-13","34.00"
"517","7","91","2023-10-26","48.00"
"518","5","57","2023-10-25","28.00"
"521","9","110","2024-03-10","40.00"
"521","10","23","2023-11-26","29.00"
"522","6","95","2023-11-03","16.00"
"523","4","140","2023-05-09","6.00"
"523","8","151","2023-12-26","15.00"
"525","2","11","2023-12-12","7.00"
"525","8","20","2023-08-24","24.00"
"526","8","119","2023-07-11","20.00"
"527","2","98","2023-06-14","23.00"
"527","4","11","2023-06-14","21.00"
"528","1","118","2024-02-11","22.00"
"529","2","30","2023-06-16","16.00"
"529","7","39","2024-02-03","46.00"
"530","3","133","2023-10-19","7.00"
"530","8","38","2023-09-24","18.00"
"531","7","93","2024-02-22","23.00"
"532","6","24","2023-12-13","28.00"
"532","7","91","2023-09-17","24.00"
"533","6","17","2023-07-29","35.00"
"534","4","51","2023-07-16","20.00"
"534","4","115","2024-03-13","5.00"
"535","4","50","2023-06-19","13.00"
"536","8","50","2024-03-09","27.00"
"537","6","104","2023-11-01","13.00"
"540","8","53","2023-11-21","11.00"
"541","1","103","2023-06-12","12.00"
"541","10","30","2024-01-01","37.00"
"544","2","58","2024-02-04","42.00"
"544","3","6","2024-01-14","28.00"
"545","8","39","2023-06-26","35.00"
"546","9","35","2024-02-18","50.00"
"548","3","86","2023-11-26","12.00"
"549","4","50","2023-05-28","29.00"
"549","5","124","2023-06-17","46.00"
"549","6","139","2023-10-23","41.00"
"549","9","147","2023-07-05","16.00"
"549","10","49","2023-07-12","12.00"
"551","6","24","2024-03-12","16.00"
"557","5","102","2023-11-29","11.00"
"559","10","34","2023-09-19","25.00"
"562","5","53","2023-07-02","16.00"
"562","10","99","2023-08-03","50.00"
"563","1","144","2023-12-07","31.00"
"563","4","76","2023-07-09","12.00"
"563","6","15","2023-07-26","42.00"
"564","4","19","2024-03-28","32.00"
"564","5","94","2023-05-23","38.00"
"566","3","80","2023-09-17","35.00"
"566","7","109","2023-10-01","40.00"
"566","7","127","2023-07-20","43.00"
"566","8","104","2023-05-19","5.00"
"570","7","11","2023-10-17","15.00"
"570","10","37","2023-08-07","37.00"
"570","10","111","2023-10-04","42.00"
"571","4","113","2024-02-17","14.00"
"573","2","102","2024-01-06","32.00"
"574","4","68","2023-12-09","47.00"
"575","1","65","2023-10-03","10.00"
"576","9","12","2023-12-16","40.00"
"577","5","49","2023-05-19","10.00"
"578","6","143","2024-04-05","22.00"
"578","9","123","2023-05-25","27.00"
"578","10","107","2023-06-20","22.00"
"579","7","116","2024-02-26","17.00"
"581","6","127","2024-04-19","13.00"
"582","3","18","2024-01-12","50.00"
"582","4","73","2024-02-28","8.00"
"582","5","159","2023-06-02","44.00"
"583","5","61","2023-07-18","15.00"
"585","10","20","2024-01-19","26.00"
"587","4","144","2024-01-20","28.00"
"587","9","73","2023-09-14","17.00"
"587","10","109","2023-08-20","37.00"
"589","10","142","2024-02-20","32.00"
"591","2","4","2023-07-27","25.00"
"591","10","134","2023-12-26","41.00"
"592","4","89","2024-03-28","32.00"
"593","4","129","2024-03-21","50.00"
"593","6","55","2023-05-21","30.00"
"594","5","160","2024-03-22","38.00"
"595","10","84","2024-04-02","23.00"
"597","10","136","2024-04-26","37.00"
"599","3","17","2024-04-05","39.00"
"600","4","69","2023-11-17","18.00"
"602","2","135","2023-05-12","34.00"
"603","2","135","2023-08-08","7.00"
"603","6","33","2023-09-12","12.00"
"606","7","150","2023-08-26","7.00"
"607","7","88","2024-04-21","25.00"
"611","6","135","2023-10-12","8.00"
"612","1","143","2023-11-14","28.00"
"612","5","1","2023-12-07","33.00"
"613","4","80","2023-06-16","28.00"
"614","9","86","2024-05-06","44.00"
"615","5","57","2024-04-06","28.00"
"616","9","69","2023-10-22","26.00"
"617","3","37","2023-06-15","40.00"
"619","2","103","2024-02-04","8.00"
"619","4","95","2023-08-22","20.00"
"621","4","26","2023-10-26","38.00"
"621","5","38","2023-10-29","36.00"
"621","9","126","2024-04-12","34.00"
"623","8","92","2023-08-24","26.00"
"624","5","65","2024-01-26","9.00"
"625","1","75","2023-11-15","18.00"
"626","8","16","2023-08-25","13.00"
"627","2","91","2024-04-17","45.00"
"627","2","113","2023-07-17","14.00"
"630","2","132","2023-08-04","7.00"
"632","1","104","2023-08-17","45.00"
"632","3","39","2023-07-03","40.00"
"632","10","41","2023-05-24","42.00"
"634","7","18","2023-11-19","13.00"
"636","10","61","2023-07-06","36.00"
"638","6","124","2023-10-06","35.00"
"639","9","89","2024-03-03","13.00"
"639","10","115","2023-07-19","10.00"
"641","1","41","2024-03-06","37.00"
"641","7","47","2024-02-10","24.00"
"642","6","64","2023-09-17","24.00"
"643","5","10","2023-07-23","14.00"
"644","6","52","2023-06-14","38.00"
"644","9","80","2024-04-04","14.00"
"649","4","77","2024-02-23","50.00"
"649","6","157","2023-05-28","17.00"
"649","10","142","2023-07-24","25.00"
"650","8","35","2024-01-25","24.00"
"651","10","2","2023-05-27","29.00"
"653","8","38","2023-05-23","42.00"
"655","10","117","2023-12-24","9.00"
"657","7","128","2023-05-21","27.00"
"658","2","109","2024-04-01","19.00"
"658","10","41","2024-03-20","42.00"
"659","2","8","2023-08-27","38.00"
"659","4","54","2023-11-24","11.00"
"661","6","39","2024-03-13","15.00"
"662","4","137","2024-05-04","20.00"
"662","5","140","2023-12-13","7.00"
"662","9","26","2023-11-30","41.00"
"665","3","10","2024-01-18","19.00"
"666","3","87","2023-10-29","18.00"
"666","4","139","2024-01-17","43.00"
"667","2","1","2024-04-22","19.00"
"667","7","14","2024-02-05","39.00"
"671","2","23","2024-02-04","13.00"
"676","8","78","2023-11-25","6.00"
"677","1","132","2023-07-16","28.00"
"677","7","33","2024-02-20","33.00"
"677","9","49","2023-09-07","17.00"
"679","9","33","2024-02-14","20.00"
"680","4","32","2023-06-12","7.00"
"681","8","19","2023-11-07","30.00"
"684","6","21","2023-09-09","40.00"
"684","6","75","2023-06-18","41.00"
"684","7","70","2023-11-09","29.00"
"685","3","74","2024-05-05","45.00"
"685","6","86","2023-09-16","34.00"
"685","7","67","2024-03-14","5.00"
"685","9","69","2023-09-22","45.00"
"686","6","64","2024-02-04","43.00"
"687","1","125","2024-04-22","49.00"
"687","6","144","2024-04-14","13.00"
"688","6","41","2024-03-28","38.00"
"691","3","119","2024-05-02","12.00"
"692","4","35","2024-05-01","25.00"
"693","7","135","2023-05-25","20.00"
"693","9","80","2023-10-03","36.00"
"694","10","127","2023-12-02","26.00"
"695","10","75","2023-08-01","35.00"
"697","5","69","2023-09-21","45.00"
"697","8","77","2023-12-11","21.00"
"699","4","24","2024-01-13","19.00"
"699","9","49","2023-09-12","32.00"
"699","10","50","2024-04-14","28.00"
"700","9","73","2023-08-01","39.00"
"701","4","74","2023-08-12","5.00"
"702","3","120","2024-02-25","23.00"
"705","9","145","2023-12-09","10.00"
"706","1","77","2023-11-27","26.00"
"706","8","69","2023-05-21","36.00"
"706","10","143","2024-01-30","45.00"
"708","4","118","2023-07-29","47.00"
"709","1","151","2023-12-24","14.00"
"709","2","81","2023-05-26","47.00"
"709","8","99","2023-08-18","38.00"
"709","9","57","2024-01-15","28.00"
"710","7","15","2023-06-01","43.00"
"711","1","81","2023-10-02","44.00"
"711","4","100","2023-07-14","14.00"
"714","1","115","2024-01-16","11.00"
"715","3","131","2023-12-28","39.00"
"715","7","45","2024-04-09","23.00"
"715","7","120","2023-07-22","38.00"
"715","7","135","2024-03-30","24.00"
"716","5","153","2023-07-28","35.00"
"716","6","49","2024-03-23","34.00"
"717","4","93","2023-09-16","6.00"
"717","5","29","2024-04-09","6.00"
"718","1","23","2024-01-01","48.00"
"719","7","28","2024-03-26","19.00"
"720","9","98","2024-04-28","19.00"
"721","7","98","2024-01-13","25.00"
"721","8","40","2024-03-25","16.00"
"722","5","61","2024-03-19","19.00"
"722","9","59","2023-11-14","7.00"
"723","6","71","2023-05-24","29.00"
"725","6","61","2023-08-14","20.00"
"725","10","36","2024-03-03","8.00"
"726","2","160","2024-02-19","35.00"
"727","1","139","2024-02-25","25.00"
"730","4","114","2024-03-15","38.00"
"730","9","89","2023-06-07","5.00"
